company_name,code,market
杭州湾区,512870,shanghai
证券ETF,512880,shanghai
红利LV,512890,shanghai
证券基金,512900,shanghai
100ETF,512910,shanghai
MSCI新华,512920,shanghai
AIETF,512930,shanghai
央企改革,512950,shanghai
央调ETF,512960,shanghai
传媒ETF,512980,shanghai
MSCIA股,512990,shanghai
225ETF,513000,shanghai
德国30,513030,shanghai
中概互联,513050,shanghai
纳指ETF,513100,shanghai
标普500,513500,shanghai
日经ETF,513520,shanghai
恒指ETF,513600,shanghai
恒生通,513660,shanghai
建信H股,513680,shanghai
东证ETF,513800,shanghai
日经225,513880,shanghai
港股100,513900,shanghai
科技ETF,515000,shanghai
通信ETF,515880,shanghai
黄金基金,518800,shanghai
黄金ETF,518880,shanghai
云化CWB1,580012,shanghai
武钢CWB1,580013,shanghai
深高CWB1,580014,shanghai
上汽CWB1,580016,shanghai
赣粤CWB1,580017,shanghai
石化CWB1,580019,shanghai
上港CWB1,580020,shanghai
青啤CWB1,580021,shanghai
国电CWB1,580022,shanghai
康美CWB1,580023,shanghai
宝钢CWB1,580024,shanghai
葛洲CWB1,580025,shanghai
江铜CWB1,580026,shanghai
长虹CWB1,580027,shanghai
浦发银行,600000,shanghai
邯郸钢铁,600001,shanghai
齐鲁石化,600002,shanghai
ST东北高,600003,shanghai
白云机场,600004,shanghai
武钢股份,600005,shanghai
东风汽车,600006,shanghai
中国国贸,600007,shanghai
首创股份,600008,shanghai
上海机场,600009,shanghai
包钢股份,600010,shanghai
华能国际,600011,shanghai
皖通高速,600012,shanghai
华夏银行,600015,shanghai
民生银行,600016,shanghai
日照港,600017,shanghai
上港集团,600018,shanghai
宝钢股份,600019,shanghai
中原高速,600020,shanghai
上海电力,600021,shanghai
山东钢铁,600022,shanghai
浙能电力,600023,shanghai
华能水电,600025,shanghai
中远海能,600026,shanghai
华电国际,600027,shanghai
中国石化,600028,shanghai
南方航空,600029,shanghai
中信证券,600030,shanghai
三一重工,600031,shanghai
福建高速,600033,shanghai
楚天高速,600035,shanghai
招商银行,600036,shanghai
歌华有线,600037,shanghai
中直股份,600038,shanghai
四川路桥,600039,shanghai
保利地产,600048,shanghai
中国联通,600050,shanghai
宁波联合,600051,shanghai
浙江广厦,600052,shanghai
九鼎投资,600053,shanghai
黄山旅游,600054,shanghai
万东医疗,600055,shanghai
中国医药,600056,shanghai
厦门象屿,600057,shanghai
五矿发展,600058,shanghai
古越龙山,600059,shanghai
海信电器,600060,shanghai
国投资本,600061,shanghai
华润双鹤,600062,shanghai
皖维高新,600063,shanghai
南京高科,600064,shanghai
*ST联谊,600065,shanghai
宇通客车,600066,shanghai
冠城大通,600067,shanghai
葛洲坝,600068,shanghai
银鸽投资,600069,shanghai
浙江富润,600070,shanghai
凤凰光学,600071,shanghai
中船科技,600072,shanghai
上海梅林,600073,shanghai
*ST保千,600074,shanghai
新疆天业,600075,shanghai
康欣新材,600076,shanghai
宋都股份,600077,shanghai
澄星股份,600078,shanghai
人福医药,600079,shanghai
金花股份,600080,shanghai
东风科技,600081,shanghai
海泰发展,600082,shanghai
博信股份,600083,shanghai
*ST中葡,600084,shanghai
同仁堂,600085,shanghai
东方金钰,600086,shanghai
退市长油,600087,shanghai
中视传媒,600088,shanghai
特变电工,600089,shanghai
同济堂,600090,shanghai
ST明科,600091,shanghai
S*ST精密,600092,shanghai
易见股份,600093,shanghai
大名城,600094,shanghai
哈高科,600095,shanghai
云天化,600096,shanghai
开创国际,600097,shanghai
广州发展,600098,shanghai
林海股份,600099,shanghai
同方股份,600100,shanghai
明星电力,600101,shanghai
莱钢股份,600102,shanghai
青山纸业,600103,shanghai
上汽集团,600104,shanghai
永鼎股份,600105,shanghai
重庆路桥,600106,shanghai
美尔雅,600107,shanghai
亚盛集团,600108,shanghai
国金证券,600109,shanghai
诺德股份,600110,shanghai
北方稀土,600111,shanghai
ST天成,600112,shanghai
浙江东日,600113,shanghai
东睦股份,600114,shanghai
东方航空,600115,shanghai
三峡水利,600116,shanghai
西宁特钢,600117,shanghai
中国卫星,600118,shanghai
*ST长投,600119,shanghai
浙江东方,600120,shanghai
郑州煤电,600121,shanghai
宏图高科,600122,shanghai
兰花科创,600123,shanghai
铁龙物流,600125,shanghai
杭钢股份,600126,shanghai
金健米业,600127,shanghai
弘业股份,600128,shanghai
太极集团,600129,shanghai
波导股份,600130,shanghai
岷江水电,600131,shanghai
重庆啤酒,600132,shanghai
东湖高新,600133,shanghai
乐凯胶片,600135,shanghai
当代明诚,600136,shanghai
浪莎股份,600137,shanghai
中青旅,600138,shanghai
西部资源,600139,shanghai
兴发集团,600141,shanghai
金发科技,600143,shanghai
*ST新亿,600145,shanghai
